유형,법정동,중학생,고등학생,잠정고객수,학원수,아파트세대수
메가타겟,대구 남구 대명2동 행정복지센터,7381,10829,910,333,94753
메가타겟,부산 금정구 서2동 행정복지센터,9173,8924,905,414,84905
메가타겟,부산 금정구 서3동 행정복지센터,9173,8924,905,414,93132
메가타겟,대구 서구 내당1동 행정복지센터,7081,11010,905,246,83906
메가타겟,부산 금정구 서1동 행정복지센터,8374,9716,904,414,93132
메가타겟,부산 동래구 안락제2동 행정복지센터,9374,8714,904,234,65742
메가타겟,인천 남동구 간석1동 행정복지센터,9552,8521,904,262,82201
메가타겟,대전 중구 태평2동 행정복지센터,8473,9563,902,259,93346
메가타겟,인천 미추홀구 숭의4동 행정복지센터,7648,10388,902,241,69869
메가타겟,충남 천안시 동남구 문성동 행정복지센터,10113,7853,898,146,79290
메가타겟,충남 천안시 서북구 부성1동 행정복지센터,8221,9721,897,142,64693
메가타겟,경기 수원시 권선구 권선2동 행정복지센터,9012,8903,896,208,73880
메가타겟,대전 동구 신인동 행정복지센터,7212,10673,894,185,77449
메가타겟,대구 달서구 두류1·2동 행정복지센터,6799,11010,890,275,91101
메가타겟,인천 미추홀구 주안3동 행정복지센터,9636,8138,889,310,82054
메가타겟,경기 수원시 권선구 곡선동 행정복지센터,10397,7333,886,184,90666
메가타겟,인천 미추홀구 주안6동 행정복지센터,9215,8401,881,290,99745
메가타겟,경기 고양시 일산동구 중산1동 행정복지센터,9058,8524,879,267,101916
메가타겟,광주 북구 임동 행정복지센터,7556,10007,878,309,93953
메가타겟,경기 고양시 일산서구 탄현2동 행정복지센터,10212,7357,878,231,102628
메가타겟,경기 화성시 동탄5동 행정복지센터,10369,7150,876,158,72247
메가타겟,대구 수성구 만촌2동 행정복지센터,9289,8180,873,615,65995
메가타겟,인천 미추홀구 문학동 행정복지센터,9390,8075,873,194,84034
메가타겟,광주 서구 농성1동 행정복지센터,7732,9731,873,333,101108
메가타겟,광주 서구 양동 행정복지센터,7415,10037,873,360,95349
메가타겟,광주 서구 풍암동 행정복지센터,8924,8532,873,317,89650
메가타겟,대전 중구 석교동 행정복지센터,7385,10040,871,130,63160
메가타겟,인천 미추홀구 숭의1·3동 행정복지센터,7958,9470,871,177,73188
메가타겟,인천 미추홀구 숭의2동 행정복지센터,7958,9470,871,177,73188
메가타겟,인천 미추홀구 도화2·3동 행정복지센터,6155,11178,867,269,104453
메가타겟,대구 달서구 두류3동 행정복지센터,6964,10348,866,334,106151
메가타겟,인천 서구 원당동 행정복지센터,9487,7773,863,203,97631
메가타겟,대구 서구 내당4동 행정복지센터,7118,10015,857,281,91263
메가타겟,경기 부천시 원미구 상동 행정복지센터,7694,9423,856,318,28295
메가타겟,경기 부천시 원미구 역곡1동 행정복지센터,7694,9423,856,318,28295
메가타겟,경기 부천시 원미구 역곡2동 행정복지센터,7694,9423,856,318,28295
메가타겟,대전 동구 대동 행정복지센터,6345,10735,854,135,66752
메가타겟,대구 동구 신암3동 행정복지센터,7369,9688,853,745,119479
메가타겟,인천 미추홀구 주안8동 행정복지센터,9537,7495,852,295,103399
메가타겟,경기 하남시 미사2동 행정복지센터,8875,8119,850,179,94719
메가타겟,대전 중구 부사동 행정복지센터,6938,10040,849,126,60317
메가타겟,인천 미추홀구 주안7동 행정복지센터,9355,7627,849,252,98095
메가타겟,경기 고양시 일산서구 주엽2동 행정복지센터,8324,8557,844,267,101916
메가타겟,충남 천안시 동남구 신방동 행정복지센터,9862,6988,842,139,54436
메가타겟,대구 남구 대명1동 행정복지센터,5873,10939,841,243,71460
메가타겟,대전 중구 용두동 행정복지센터,7177,9612,839,224,88466
메가타겟,대구 남구 봉덕1동 행정복지센터,8126,8624,838,357,82233
메가타겟,인천 남동구 만수3동 행정복지센터,8818,7934,838,222,118960
메가타겟,대전 중구 유천2동 행정복지센터,7477,9256,837,232,83101
메가타겟,인천 미추홀구 학익1동 행정복지센터,7453,9284,837,223,88550
메가타겟,광주 북구 신안동 행정복지센터,8129,8605,837,286,86266
메가타겟,경기 수원시 권선구 세류1동 행정복지센터,6923,9823,837,205,72086
